Valine,HMDB00883,C00183,774931,641889,1197814,917903,1369246,1003508,1044095,932218,1055957,929673,668115,919527,1323005,1159729,914704,820454,1169938,995181,1267377,889335,829057,1280551,631170,1013774,555295,678885,1038035,890160,679896,768660,737417,654692,670506,617096,1004780,614134,780006,498918,905191,582176,883941,990889,910011,1066578,702923,950809,975954,937870,675580,756956,496899,877108,994546,573299,838437,920862,864091,673257,419859,725086,1157173,1022992,744954,847148,1058403,794705,515984,588359,1116481,712887,668067,842000
Indole,HMDB00738,C00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Threonine,HMDB00167,C00188,1748212,769172,829949,2408750,1708773,726250,1409414,2089976,1652394,1628163,1467636,2487049,1557317,2402843,2442974,1672156,3007771,1782737,1000063,628141,2367881,4489288,1373947,1971056,762790,569417,2305158,1848706,827357,1325301,1194450,826402,573581,1423252,2128171,573199,1456212,673754,723391,842368,1379263,2271545,2654694,1228372,1453292,1385583,790676,3519779,886035,1505075,1274977,924464,1107585,1628456,2899098,1986458,1864379,632225,686565,892787,2095200,1911354,717551,2186332,3790867,1105816,2639347,1212858,1084211,1463306,537172,2076254
Cysteine,HMDB00574,C00097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Niacinamide,HMDB01406,C00153,258980,359675,438731,883934,567481,739012,477087,725089,966275,527727,757533,452670,790815,486915,890355,406293,950207,390248,394566,287015,219442,398126,468071,321430,353555,507753,406104,335738,670215,382833,342065,399771,935807,272344,692304,702502,291723,779196,1175135,352278,443351,883115,890090,555853,371092,318215,399229,460355,425731,504057,257924,649808,455842,264162,234176,783604,254561,249316,142775,324481,756191,360453,670269,319598,436744,239447,194930,291856,422654,174643,481412,251907
Taurine,HMDB00251,C00245,15905952,12223432,16766822,11841803,13548970,13820371,16946649,12847090,14330450,10644371,12296394,11979879,16352249,15243740,12030842,13356147,19473081,14313135,18915262,14461398,9984251,9387357,13744681,19154599,9413365,12776476,13095175,15783079,11832161,12812190,12443158,11889561,11426985,13508926,13501885,10892884,11472202,10527864,15579422,7871146,18669637,11765742,9745243,13179461,13576165,11349966,17223009,11794544,12760367,12982190,9721814,14561349,12855406,13201566,11988380,10520465,15636908,14702359,4806025,12421153,11330548,12512488,12568971,12331100,10741705,12856213,10522939,13407414,17449505,9499020,15469972,14325648
1-Methylhistamine,HMDB00898,C05127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Imidazoleacetic Acid,HMDB02024,C02835,61071,28077,33704,73275,96336,44913,37988,45700,73338,70458,93435,64965,76597,40400,82974,30176,72628,31704,90699,24796,93346,48308,57697,48726,38805,29788,50013,38277,78872,25999,37425,31842,46095,39594,44607,40882,158167,31606,44117,17300,50528,67195,73731,39004,32764,61418,41061,66259,16443,73434,50196,41431,65086,47063,33155,176079,46775,70744,20776,26502,55692,76406,42695,39050,42179,117694,19112,96184,27734,29392,36568,36347
"5,6-Dihydrothymine",HMDB00079,C00906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyroglutamic Acid,HMDB00267,C01879,275524,198111,350494,1057687,1714317,1145870,371599,1064028,1630764,1055147,1164456,346322,2279073,370017,1807517,211317,420099,254354,390915,241676,324381,275496,268275,323625,636928,292402,289192,339232,1329491,351061,460934,342233,1430838,644069,1642113,1155509,418972,1448171,2107232,1131756,484903,2168927,1911721,1274908,500721,423925,402016,449657,327768,391718,586030,536728,452690,628748,508501,1754184,385444,581022,540733,427219,2219173,651466,1610426,443169,452995,562069,404058,385305,532908,410594,622744,444891
