Current MS Compounds,QC(I)#1,QC(I)#2,QC(I)#3,QC(I)#4,QC(I)#5,QC(I)#6,QC(I)#7,QC(I)#8,QC(S)#1,QC(S)#2,QC(S)#3,QC(S)#4,QC(S)#5,QC(S)#6,QC(S)#7,QC(S)#8
Salicylurate,105967,104400,99931,111291,102147,97889,103420,100651,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL DOPA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44338,51820,57559,51641,60128,63532,52647,56566
Selenomethionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dimethylarginine (A/SDMA),8453375,8446490,7969347,7671845,7200858,7959422,7246205,7225771,1773895,1618870,1485532,1648281,1561873,1558077,1583419,1605761
Spermine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Indolebutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acetylcarnitine,29698158,29091552,27407320,29596621,27051785,29196094,30338458,27664913,37668283,37090099,35800332,35154052,35620880,33849155,32094909,33096135
Tryptophan,11217025,11220493,11344271,9497065,9317490,9584472,9481785,9112502,2987526,3015804,2969679,2573465,2490592,2606394,2452237,2526017
L-Kynurenine,146519,148523,149182,115791,132328,124539,126654,127660,2791152,2822106,2807819,2454980,2344763,2311257,2354392,2307380
Phosphocreatine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Arginine,128107,113783,126040,114149,120751,118754,110665,110844,3750412,3934892,3599719,3659758,3340177,3527578,3396315,3424886
Carnosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
